U1,C1,Sub1,U2,C2,Sub2,U3,C3,Sub3
0.103896103896104,0.187812187812188,NaN,0.205794205794206,0.746253746253746,NaN,0.001998001998002,0.291708291708292,0.047952047952048
0.015984015984016,0.001998001998002,0.827172827172827,0.241758241758242,0.00999000999000999,0.925074925074925,0.00599400599400599,0.001998001998002,0.82017982017982
0.357642357642358,0.92007992007992,NaN,0.017982017982018,0.993006993006993,NaN,0.011988011988012,0.932067932067932,0.001998001998002
0.0539460539460539,0.003996003996004,0.722277722277722,0.0929070929070929,0.0929070929070929,NaN,0.004995004995005,0.004995004995005,0.403596403596404
0.01998001998002,0.397602397602398,0.0659340659340659,0.11988011988012,0.737262737262737,NaN,0.017982017982018,0.464535464535465,0.041958041958042
0.00599400599400599,0.0999000999000999,0.108891108891109,0.302697302697303,0.302697302697303,NaN,0.003996003996004,0.106893106893107,0.0859140859140859
0.001998001998002,0.68031968031968,0.000999000999000999,0.0759240759240759,0.858141858141858,NaN,0.001998001998002,0.709290709290709,0.000999000999000999
0.137862137862138,0.295704295704296,NaN,0.01998001998002,0.470529470529471,NaN,0.013986013986014,0.296703296703297,0.0589410589410589
0.015984015984016,0.0559440559440559,0.232767232767233,0.167832167832168,0.228771228771229,NaN,0.001998001998002,0.0699300699300699,0.127872127872128
0.003996003996004,0.032967032967033,0.0709290709290709,0.275724275724276,0.101898101898102,NaN,0.003996003996004,0.011988011988012,0.267732267732268
0.15984015984016,0.15984015984016,NaN,0.562437562437562,0.311688311688312,NaN,0.217782217782218,0.217782217782218,NaN
0.430569430569431,0.0919080919080919,NaN,0.418581418581419,0.418581418581419,NaN,0.353646353646354,0.353646353646354,NaN
0.00799200799200799,0.001998001998002,0.366633366633367,0.889110889110889,0.001998001998002,0.000999000999000999,0.174825174825175,0.001998001998002,0.00999000999000999
0.0849150849150849,0.027972027972028,0.354645354645355,0.338661338661339,0.187812187812188,NaN,0.234765234765235,0.0979020979020979,NaN
0.046953046953047,0.00599400599400599,0.296703296703297,0.96003996003996,0.001998001998002,0.000999000999000999,0.703296703296703,0.001998001998002,0.001998001998002
0.017982017982018,0.003996003996004,0.191808191808192,0.822177822177822,0.025974025974026,NaN,0.352647352647353,0.001998001998002,0.0599400599400599
0.215784215784216,0.051948051948052,NaN,0.629370629370629,0.033966033966034,NaN,0.531468531468531,0.023976023976024,0.0789210789210789
0.23976023976024,0.101898101898102,NaN,0.261738261738262,0.047952047952048,NaN,0.131868131868132,0.017982017982018,0.253746253746254
0.12987012987013,0.023976023976024,0.25974025974026,0.725274725274725,0.113886113886114,NaN,0.456543456543457,0.033966033966034,0.0839160839160839
0.171828171828172,0.003996003996004,0.144855144855145,0.832167832167832,0.00999000999000999,0.00699300699300699,0.569430569430569,0.00999000999000999,0.032967032967033
0.153846153846154,0.434565434565435,NaN,0.145854145854146,0.302697302697303,NaN,0.0639360639360639,0.194805194805195,NaN
0.294705294705295,0.00999000999000999,0.111888111888112,0.866133866133866,0.001998001998002,0.000999000999000999,0.743256743256743,0.003996003996004,0.00699300699300699
0.378621378621379,0.301698301698302,NaN,0.4995004995005,0.0899100899100899,NaN,0.426573426573427,0.393606393606394,NaN
0.283716283716284,0.742257742257742,NaN,0.452547452547453,0.433566433566434,NaN,0.543456543456543,0.543456543456543,NaN
0.685314685314685,0.685314685314685,NaN,0.743256743256743,0.743256743256743,NaN,0.8001998001998,0.8001998001998,NaN
