Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.083,1.39,0.001,30.68,0.018,2.05,0.001,31.44
0.083,-1.39,0.001,-30.68,0.018,-2.05,0.001,-31.44
0.558,-0.14,0.001,15.29,0.034,1.82,0.001,19.23
0.253,0.66,0.001,19.26,0.241,0.69,0.001,18.41
0.614,0.24,0.001,-20.99,0.45,-0.13,0.001,-19.74
0.277,0.53,0.001,8.03,0.867,-1.08,0.001,10.25
