Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.038,1.68,0.001,31.66,0.011,2.34,0.001,32.14
0.038,-1.68,0.001,-31.66,0.011,-2.34,0.001,-32.14
0.304,0.51,0.001,16.76,0.019,2.08,0.001,20.34
0.315,0.49,0.001,19.83,0.157,1.04,0.001,18.57
0.95,1.63,0.001,-20.93,0.584,0.19,0.001,-20.78
0.285,0.54,0.001,7.43,0.841,-0.96,0.001,10.27
