participant,session,trial_number_overall,image_name,fixation_duration,eccentricity_fix,eccentricity_obj,sacc_amp,ROI_size
501,1,64,1039.jpg,1137,114.04494727957,112.651493097124,NaN,9358
501,1,64,1039.jpg,687,172.346308344565,112.651493097124,1.44639294028058,9358
501,1,64,1039.jpg,563,183.60623627753,112.651493097124,4.44128555691184,9358
501,1,71,1041.jpg,693,132.186421390398,NaN,1.977157310102,99760
501,1,32,1050.jpg,1025,73.4455580685449,26.6060140973055,3.00031311934145,1439
501,1,43,1053.jpg,683,131.397298297948,105.63729776733,3.60528099903018,18347
501,1,43,1053.jpg,317,131.56082243586,105.63729776733,3.22284331555015,18347
501,1,43,1053.jpg,782,109.969313901652,67.505997384205,3.39350605485263,1650
501,1,129,1061.jpg,585,73.3501874571565,107.739987747476,1.16435603687496,25743
501,1,24,1069.jpg,342,92.3593525312948,97.4733652707531,1.43165962616207,16695
501,1,24,1069.jpg,261,135.148991857135,97.4733652707531,1.22416731442999,16695
501,1,24,1069.jpg,439,87.3856395525031,97.4733652707531,3.18541555976437,16695
501,1,139,1074.jpg,246,170.18298974927,NaN,0.622969622070145,133614
501,1,139,1074.jpg,683,119.91768009764,NaN,3.27667504469224,133614
501,1,139,1074.jpg,542,112.797384721455,NaN,1.7507842266592,133614
501,1,39,1078.jpg,1124,169.34063304476,208.853209160207,3.10620867242549,2671
501,1,12,1081.jpg,590,108.541466730462,127.58695989868,1.80725515676205,2833
501,1,99,1083.jpg,412,92.7752661003998,NaN,1.31527120965506,130641
501,1,99,1083.jpg,530,88.3077006834625,86.6023070489487,2.09455058881608,206
501,1,62,1084.jpg,311,86.7078427825303,NaN,1.72202548213871,130929
501,1,62,1084.jpg,709,142.306886692106,NaN,1.56782288227453,130929
501,1,62,1084.jpg,835,133.121185391357,144.721811686345,1.78650420883066,48
501,1,68,1085.jpg,431,69.4064118075556,NaN,1.86801570704784,131842
501,1,68,1085.jpg,475,88.562125087421,12.97385567113,NaN,2680
501,1,68,1085.jpg,964,95.6830706029024,NaN,2.37786804604084,131842
501,1,59,1090.jpg,840,178.511204130161,179.274970852574,3.24937019659389,9831
501,1,59,1090.jpg,339,140.876719155437,18.8294616130896,4.68922863415682,8326
501,1,59,1090.jpg,1055,136.02297600038,179.274970852574,3.06528669962569,9831
501,1,155,1094.jpg,460,91.346866393982,NaN,1.61732789045509,88603
501,1,155,1094.jpg,838,130.760276842778,NaN,3.68499513602489,88603
501,1,142,1095.jpg,756,124.580295392169,NaN,2.79255512249264,116031
501,1,142,1095.jpg,861,127.284130982617,NaN,3.27939621369836,116031
501,1,142,1095.jpg,1045,81.0015431951762,21.1392754248556,2.80625798397593,9506
501,1,125,1097.jpg,705,108.633558350999,83.9748204280213,2.75360840895758,10750
501,1,125,1097.jpg,541,116.052789712268,83.9748204280213,3.62293326799898,10750
501,1,78,1110.jpg,564,92.5324267486809,100.0777156687,1.6492511357583,12090
501,1,78,1110.jpg,511,83.7152913152669,59.9348844506852,2.19699178221799,6988
501,1,79,1115.jpg,755,74.0962212261867,NaN,1.89361717921566,132976
501,1,101,1126.jpg,954,72.9537524737419,86.8747496313038,0.632675737063759,7588
501,1,101,1126.jpg,699,130.024036239458,152.080267240708,3.82705687866423,502
501,1,153,1132.jpg,865,88.2510623165523,131.023060683176,1.87049271610742,8599
501,1,153,1132.jpg,937,73.08385594644,131.023060683176,1.74701946471853,8599
501,1,153,1132.jpg,803,138.982912618782,131.023060683176,1.77156889662744,8599
501,1,144,1154.jpg,570,122.050194592225,158.210729300016,2.19752672924834,4526
501,1,144,1154.jpg,833,148.533666217461,158.210729300016,3.28983288388176,4526
501,1,144,1154.jpg,794,111.405789795683,158.210729300016,2.86562588680346,4526
501,1,67,1155.jpg,641,70.4716254956561,64.4031308174773,NaN,27
501,1,67,1155.jpg,366,168.775738777823,NaN,2.82000820415199,130345
501,1,67,1155.jpg,467,82.257218528224,79.4956230734405,1.86614577367922,402
501,1,67,1155.jpg,642,71.9253084803951,79.4956230734405,1.05633127858005,402
501,1,34,1158.jpg,658,72.7272301136239,56.7254867382,1.08907932403872,1126
501,1,42,1164.jpg,393,148.45285446902,NaN,4.027641750471,136917
501,1,42,1164.jpg,505,110.68536488624,NaN,0.586696495120111,136917
501,1,42,1164.jpg,869,106.222643537054,NaN,1.73046707719625,136917
501,1,40,1181.jpg,739,80.1763680893566,NaN,2.95988028105318,121508
501,1,40,1181.jpg,876,73.7309297377973,147.220645478607,1.66815755591016,10828
501,1,100,1183.jpg,586,157.115403446002,153.952193617185,3.53569659716025,5084
501,1,37,1195.jpg,599,121.516459790433,87.1736869202626,2.75129352231266,4500
501,1,37,1195.jpg,1029,72.6033745772192,60.3764804760371,1.54503017800869,4345
501,1,145,1215.jpg,631,71.3179500546672,148.123543557745,1.78983451418554,12539
501,1,145,1215.jpg,1154,82.257218528224,49.6547161313701,1.62388595996661,49465
501,1,54,1219.jpg,1215,97.0734258177798,58.1970997120095,NaN,4655
501,1,54,1219.jpg,330,89.7733256596858,57.0560477734499,3.42917203563871,1662
501,1,54,1219.jpg,758,97.9093968932502,58.1970997120095,1.94938018401599,4655
501,1,58,1225.jpg,784,163.359266648697,NaN,3.01660490177469,128990
501,1,58,1225.jpg,1200,97.1403623629231,80.094284716518,2.42287309673331,7330
501,1,149,1231.jpg,461,101.43594037618,NaN,NaN,109529
501,1,149,1231.jpg,3020,103.577265845358,136.336890806993,3.22452264700657,7802
501,1,35,1232.jpg,970,69.6509152847254,NaN,1.86365651383845,111966
501,1,35,1232.jpg,423,69.822990483078,NaN,1.78341591258084,111966
501,1,36,1241.jpg,528,96.1730211649816,NaN,1.21579077276923,128369
501,1,84,1248.jpg,637,127.692012279547,NaN,2.75246084274495,112021
501,1,84,1248.jpg,618,82.1112050818888,142.741434384385,4.42500349095792,21831
501,1,84,1248.jpg,656,116.100172265161,NaN,4.89135052123181,112021
501,1,84,1248.jpg,1154,178.301009531634,142.741434384385,5.19014316987029,21831
501,1,30,1249.jpg,345,88.8045606936941,NaN,NaN,133496
501,1,30,1249.jpg,478,152.365514470959,NaN,3.85160955778687,133496
501,1,30,1249.jpg,1636,88.0411835449751,NaN,5.11601315681645,133496
