"","b_Intercept","sd_subject_id__Intercept","Intercept","r_subject_id[401,Intercept]","r_subject_id[402,Intercept]","r_subject_id[403,Intercept]","r_subject_id[404,Intercept]","r_subject_id[405,Intercept]","r_subject_id[406,Intercept]","r_subject_id[407,Intercept]","r_subject_id[408,Intercept]","r_subject_id[409,Intercept]","r_subject_id[410,Intercept]","r_subject_id[411,Intercept]","r_subject_id[412,Intercept]","r_subject_id[413,Intercept]","r_subject_id[415,Intercept]","r_subject_id[416,Intercept]","r_subject_id[417,Intercept]","r_subject_id[418,Intercept]","r_subject_id[419,Intercept]","r_subject_id[420,Intercept]","r_subject_id[421,Intercept]","r_subject_id[422,Intercept]","r_subject_id[423,Intercept]","r_subject_id[424,Intercept]","r_subject_id[425,Intercept]","r_subject_id[426,Intercept]","r_subject_id[427,Intercept]","lprior","lp__"
"1",3.947871,0.46655145,3.947871,-0.055456247,-0.0083790086,0.12261034,0.4589615,0.22048605,-1.2986262,-0.32088718,-0.073077795,0.30446086,0.41556702,-0.15846461,-0.017917509,0.65340859,-0.54496973,-0.05282997,-0.027151165,-0.5622715,0.10523561,0.11725532,0.058876492,0.34526857,0.18012752,-0.86463428,0.12137135,-0.13850797,-0.11879455,-5.2544408,-293.1303
"2",4.2437335,0.94056549,4.2437335,-0.24838521,0.65524941,-0.66840682,-1.1794486,0.98422835,-1.4034626,1.5772411,0.2806987,0.69702201,-0.090616467,-0.94401185,1.5865883,-1.6975712,-0.43241175,1.5278568,1.3880099,-1.2971288,0.22540433,1.6719485,0.41052199,-0.22847543,0.74017803,2.0289389,-1.458564,-0.56513843,-0.77550065,-6.26703,-288.52783
"3",4.4524054,0.65646183,4.4524054,-0.60005696,-0.16263952,-0.78256773,0.10152689,0.0085263025,-1.764944,-0.76503086,-0.48298993,0.27223715,0.14641148,-0.56946395,0.38800181,1.151221,-0.97410019,0.12245513,-0.27852574,-1.1386267,0.48093294,0.06521906,-0.20891729,1.3436293,0.083640274,-1.0364308,0.13349075,-0.73324954,-0.68541208,-6.3861796,-296.11287
"4",3.8577982,0.64037904,3.8577982,0.17819017,0.22484669,-0.15472729,-0.6866281,0.94295444,-0.7917766,1.1846433,0.6061129,0.61548152,0.445285,-0.33072808,0.72022741,-1.3290911,0.034568394,0.87455999,1.2640998,-0.48003598,-0.17784049,0.90898064,0.64003408,-0.7782384,0.81150199,1.3024438,-1.0936676,0.21958874,-0.081231724,-5.2720287,-296.04032
"5",3.8987308,0.43044734,3.8987308,1.0030237,-0.21081484,0.22261223,-0.40478612,0.49491384,-0.60616263,0.20678888,0.96179668,-0.2051196,0.33110903,-0.3864462,0.46250332,0.2307914,-0.22376397,1.0865913,0.5119989,-0.260424,0.1276796,-0.36705319,0.48063482,-0.25847163,1.033166,0.16351942,-0.34328025,-0.91580084,-0.31556482,-5.1326514,-302.01586
"6",4.224435,0.50181031,4.224435,-1.1896806,0.72115211,-0.65362156,0.30855457,0.29738936,-0.96083554,0.098922311,-0.86414381,1.0269218,-0.15057901,-0.14168605,0.52631015,-0.57716529,-0.22824474,-0.30402197,0.2083366,-0.89415353,0.24354256,1.3335901,-0.099517705,0.78611452,-0.20429796,0.13351256,-0.21723631,0.57606269,-0.24852347,-5.7919587,-300.25978
"7",3.7479582,0.71750284,3.7479582,-0.10090112,0.017054607,0.22753912,-0.20633708,0.1769044,-1.9607515,0.38484271,0.13967241,1.4239094,0.69760721,0.51733819,1.5141664,-0.064301667,-0.58665461,-0.03098974,0.7175216,-1.0595675,-0.14371925,0.4513407,0.041089108,0.79076239,0.63019816,0.98266825,0.21069168,-0.51642712,0.15023125,-5.1635044,-289.95737
"8",4.2774095,1.2636087,4.2774095,0.58531858,0.49614119,-1.1954743,0.10068549,1.5811133,-1.4456898,0.94322614,0.16329635,0.16937574,-0.74599355,-0.081949412,-0.33154062,-1.3273034,-0.051415686,1.474953,0.93715932,-1.0156676,0.62229465,1.2677426,0.14260792,0.3833858,0.029890348,-0.47515205,-0.21321808,-0.26271812,0.93713602,-6.6538417,-285.30504
"9",3.9694723,0.82997671,3.9694723,-0.75497987,-0.34072015,-0.14467058,-0.56364401,1.6386948,-1.4037633,0.19887326,0.7325439,1.5601618,0.38933781,-0.77863549,1.5949743,0.49714796,-0.9253716,1.0787509,1.2947116,-1.011861,0.66859846,-0.177894,0.54309519,-0.0095003788,1.4767365,0.052465505,-0.42364137,-0.52594371,-1.3975176,-5.6558716,-286.20831
"10",3.8164541,0.66035135,3.8164541,0.35559202,0.64557469,-0.53887789,0.13057858,0.15363791,-0.69342599,0.28466691,-0.18803656,0.027552336,0.022425764,-0.019819836,0.35488764,-0.50336227,0.11588315,0.55465647,0.26740691,-0.74808402,0.25123948,1.3510405,0.04705439,0.6727343,0.74039005,0.26949627,-0.50087461,0.32327388,0.54688753,-5.2214932,-286.09485
"11",4.3341323,1.1705764,4.3341323,-0.82041022,-0.50055584,-0.15588609,-0.71336142,1.4669528,-1.4479389,0.73296543,0.5067679,1.6356565,1.6216113,-0.927702,1.2135789,-0.033774962,-1.2191098,0.92636176,1.2863127,-0.83539832,0.28220005,0.32249988,0.87774258,1.478803,0.41014519,0.52975881,-0.2056611,-1.1637254,-1.5519661,-6.6693585,-281.46107
"12",4.7461802,1.1739012,4.7461802,-0.38458109,0.80922587,-1.1711121,-0.36984241,0.42900709,-1.9558684,-0.71649246,-0.54120825,0.81223925,0.26861356,-0.85510446,0.92817142,-1.3196519,-0.69244982,2.0028954,1.9253152,-1.9175491,-0.19066184,0.7001308,-0.56730401,-0.20430286,0.81321425,-0.90592782,-1.567463,-0.44530991,-0.14358996,-7.5041329,-281.74538
"13",4.5130032,0.86126683,4.5130032,-0.97916218,-0.33258616,-0.856426,-1.1583808,1.1581504,-1.8351474,0.27311242,0.42973304,-0.46371053,-0.99507519,-0.89027257,-0.44959715,-0.57484282,-1.4324723,0.55535684,0.97787208,-0.93666963,-0.40236677,1.743254,0.1025699,0.26082879,0.97603742,-0.12799004,-0.32223432,-0.63051315,-1.1336743,-6.7117144,-285.80384
"14",4.6566846,1.1514491,4.6566846,-0.43342167,1.6199108,-1.6543559,-0.16126098,-0.17087583,-2.156176,-0.49264685,-1.3442247,2.1862955,0.80037807,-0.60395652,1.8521113,-0.83329346,-1.6249059,0.47739356,0.53519649,-0.79886438,0.52197956,-0.83943069,-0.12628305,-0.035653098,-0.089756025,-0.39743519,-0.88899016,-1.2805419,-0.75976903,-7.2946776,-287.11995
"15",4.2517573,0.7092052,4.2517573,-0.75090767,0.803117,-0.087772123,-0.5349036,1.0279702,-1.3606513,0.20921922,0.6481244,-0.20820294,-0.9115614,-0.67396172,-0.10779088,0.08279021,0.1107211,0.41149037,0.1263654,-1.584217,-0.48558139,1.1401939,0.46110745,-0.35231211,1.0671406,0.21249187,-0.78845346,-0.41750229,-0.88496295,-6.0508178,-288.72673
"16",4.5874972,1.0648488,4.5874972,-0.057108586,0.69773169,-1.4971142,-0.5047886,0.27241115,-1.9278647,0.94166092,-0.72936505,1.0640349,1.2542463,-0.82422212,1.1313765,-1.5022878,-1.3077357,1.1842909,1.8167176,-0.41709314,0.61601849,-0.7228841,0.14690111,0.33178691,-0.055101757,-0.75901338,-0.10551319,-1.0795633,-0.32793971,-7.065948,-288.18113
"17",3.9034525,1.2364201,3.9034525,0.015501291,0.35734939,1.0461592,1.3179037,2.868117,-1.4660056,0.68546465,1.5797842,1.1322091,0.17381425,0.41618028,1.4646004,1.322682,-0.028977357,1.2372642,1.4669063,-1.2939504,0.47376756,3.4832745,1.2915525,1.0118394,2.5211732,1.7703573,-0.83234663,0.5546958,-0.47407463,-5.9468106,-292.3656
"18",3.5588315,0.96338296,3.5588315,0.25680133,1.4032122,-0.81347494,0.056369306,0.51101503,-0.63324428,0.27655907,0.24781053,0.5779466,0.38378844,-0.51901351,0.43889421,-1.1156514,-0.81494919,1.7163312,0.77282281,-0.068236841,0.15923186,0.58313306,0.063487533,0.0095299559,0.70560493,1.4716953,0.16580014,-0.68947627,-0.014750653,-5.1022937,-288.26015
