"","b_Intercept","sd_subject_id__Intercept","Intercept","r_subject_id[401,Intercept]","r_subject_id[402,Intercept]","r_subject_id[403,Intercept]","r_subject_id[404,Intercept]","r_subject_id[405,Intercept]","r_subject_id[406,Intercept]","r_subject_id[407,Intercept]","r_subject_id[408,Intercept]","r_subject_id[409,Intercept]","r_subject_id[410,Intercept]","r_subject_id[411,Intercept]","r_subject_id[412,Intercept]","r_subject_id[413,Intercept]","r_subject_id[415,Intercept]","r_subject_id[416,Intercept]","r_subject_id[417,Intercept]","r_subject_id[418,Intercept]","r_subject_id[419,Intercept]","r_subject_id[420,Intercept]","r_subject_id[421,Intercept]","r_subject_id[422,Intercept]","r_subject_id[423,Intercept]","r_subject_id[424,Intercept]","r_subject_id[425,Intercept]","r_subject_id[426,Intercept]","r_subject_id[427,Intercept]","lprior","lp__"
"1",0.07337945,0.11521309,0.07337945,0.016296012,-0.12332747,0.11606136,-0.1151707,0.0016721495,-0.076749938,0.055324114,0.13281736,0.27302579,-0.15254898,-0.17812292,-0.23404056,0.016443708,-0.040016805,-0.03221074,-0.021341884,0.047739157,-0.07013278,-0.025518681,-0.011064612,-0.23109069,0.010927565,0.019150295,0.027485934,0.040622094,-0.017874202,-1.4408133,-1995.1054
"2",0.12006061,0.11777447,0.12006061,-0.015633538,0.22820015,0.010084192,-0.086132773,-0.038590123,0.062449889,0.023658355,-0.11515599,-0.32482459,-0.038611209,0.24905704,0.26620909,-0.036680909,-0.004758845,0.0097765656,0.024399874,0.041536674,0.16664755,-0.068805634,-0.13985715,-0.11594439,0.034487297,-0.030937085,0.015512742,0.043736476,-0.13233235,-1.4453813,-1991.1349
"3",-0.033664005,0.13384531,-0.033664005,0.074971453,-0.11234295,0.14389536,-0.10999509,0.056496309,0.054090187,0.027661464,0.17204373,0.19604526,-0.26751687,-0.18724936,-0.17896922,0.38123071,-0.03404238,-0.1209046,0.20965502,0.03977754,0.036373511,0.015077677,-0.031959946,-0.25332105,-0.017663736,0.2057302,0.086055877,0.082486152,-0.062588366,-1.4585008,-2000.8855
"4",0.081809364,0.070850346,0.081809364,0.03072228,-0.017012275,0.10135826,-0.066124158,-0.033500225,0.043374649,-0.06246528,0.033716206,0.012921412,-0.1920638,0.02237569,0.063322859,0.12931117,0.049646183,-0.14303119,0.037567908,0.026578201,-0.0042001819,0.025118132,0.018926212,-0.076547986,-0.078732346,0.057762103,-0.062531517,-0.024137283,-0.078607519,-1.3967413,-1993.575
"5",0.062207184,0.032342976,0.062207184,-0.020151551,0.014624833,-0.052591754,0.016161185,-0.01200918,0.0091545914,-0.0099308911,-0.038578365,0.017771587,0.026372877,-0.029785644,-0.03326562,-0.083526666,-0.0098248827,0.060858334,0.02670034,-0.045633692,-0.012046249,-0.020197308,-0.051038824,-0.0013069593,0.027186416,-0.020522961,0.039977654,-0.00056931069,-0.013880633,-1.3576066,-1998.76
"6",0.08777212,0.028710162,0.08777212,0.0037831715,-0.0064156984,-0.029114417,0.0055090892,-0.036584673,0.0096949502,0.036695987,0.035860968,-0.016353767,-0.00047599205,-0.030800691,0.0035317385,-0.052685301,0.014636072,-0.0068172321,-0.018829609,-0.025222386,0.019539595,0.010650059,-0.038609416,0.011749267,-0.044052979,-0.016211882,0.03813026,0.0070825437,-0.014579711,-1.3548258,-1994.673
"7",0.074926709,0.017319215,0.074926709,-0.0045027558,-0.015620625,-0.017800652,-0.0060377209,-0.020213831,0.0066301694,0.011600299,0.02466409,-0.0019486562,-0.0044486536,-0.0082089014,-0.0056149811,-0.012129317,0.014833693,-0.013060807,-0.003847831,-0.03357715,0.019758765,0.0008323359,-0.0073218699,0.020090747,-0.022871975,0.0048626201,0.01687069,0.011762395,0.0056947773,-1.3429704,-1994.6569
"8",0.077194523,0.0093820477,0.077194523,0.00020063492,0.0065182303,0.010486303,0.0032398783,0.012755921,0.0015299637,-0.0065192066,-0.010810755,7.177682e-05,0.0016863208,0.0090518375,0.0034336201,0.011777328,-0.0060855977,0.0059063773,0.0016064186,0.01565839,-0.0072792794,-0.0035469727,0.0043848132,-0.011208073,0.0090765767,-0.002986444,-0.0071505598,-0.00097173501,0.0033894217,-1.3351099,-1993.3605
"9",0.07054001,0.0065866268,0.07054001,8.4164383e-05,0.0045019258,0.0059520044,0.0030296073,0.011617695,0.0016778498,-0.0061368654,-0.0061731205,-2.264377e-05,-0.0032693144,0.0063436981,0.0047850036,0.0082014437,-0.0046761119,0.0086070376,0.0015146227,0.012200395,-0.0062520367,-0.0042796621,0.0031820315,-0.0079047622,0.0047101507,-0.0048057677,-0.0043464641,0.0022816627,0.0018130162,-1.332096,-1995.6733
"10",0.11715148,0.093793659,0.11715148,-0.094559731,0.046957185,0.083188617,-0.1125016,-0.0061692937,-0.13425006,0.085951064,0.07514923,0.095407496,-0.069278033,-0.0034918486,0.038666594,0.023510697,-0.060640852,0.068211627,0.19641831,0.017886212,-0.060728605,0.12611231,0.13425334,0.11989324,-0.091317014,-0.023071038,0.029362662,0.069476206,-0.11317765,-1.4212472,-1999.801
