subject_id,N_U,R_U,N_C1,R_C1,N_C2,R_C2
501,190,94,89,89,20,20
502,85,46,100,100,166,165
503,139,79,82,82,65,65
504,35,13,120,119,179,173
505,193,103,126,126,0,NaN
506,102,55,48,43,40,37
507,205,106,90,87,0,NaN
508,29,18,94,90,227,227
509,35,16,123,123,157,148
510,85,47,110,108,80,80
511,49,20,128,127,229,228
512,61,37,121,120,153,151
513,208,98,113,111,1,1
514,177,93,115,115,8,5
515,210,116,45,44,4,4
516,106,58,94,94,110,109
517,198,106,86,86,0,NaN
518,189,102,124,124,19,19
519,190,83,99,96,0,NaN
520,212,100,41,37,0,NaN
521,158,87,55,54,83,74
522,213,97,33,33,12,12
523,124,51,97,96,125,121
524,136,67,93,92,105,99
525,188,99,62,62,0,NaN
526,73,36,93,90,191,188
